"Date","Births"
"1959-01-01",35
"1959-01-02",32
"1959-01-08",43
"1959-01-09",38
"1959-01-10",27
"1959-01-11",38
"1959-01-12",33
"1959-01-28",35
"1959-01-29",44
"1959-01-30",38
"1959-01-31",24
"1959-02-01",23
"1959-02-02",31
"1959-02-03",44
"1959-02-04",38
"1959-02-05",50
"1959-02-06",38
"1959-03-04",34
"1959-03-05",36
"1959-03-06",50
"1959-03-07",44
"1959-03-08",39
"1959-03-09",32
"1959-03-10",39
"1959-03-11",45
"1959-03-12",43
"1959-03-13",39
"1959-03-14",31
"1959-03-15",27
"1959-03-16",30
"1959-03-17",42
"1959-04-13",34
"1959-04-14",38
"1959-04-15",35
"1959-04-16",32
"1959-04-17",42
"1959-04-18",34
"1959-04-19",46
"1959-04-20",30
"1959-04-21",46
"1959-04-22",45
"1959-04-23",54
"1959-04-24",34
"1959-04-25",37
"1959-04-26",35
"1959-04-27",40
"1959-04-28",42
"1959-04-29",58
"1959-04-30",51
"1959-05-01",32
"1959-05-02",35
"1959-05-03",38
"1959-05-04",33
"1959-05-05",39
"1959-05-06",47
"1959-05-07",38
"1959-05-08",52
"1959-05-09",30
"1959-05-10",34
"1959-05-11",40
"1959-05-12",35
"1959-05-13",42
"1959-06-12",34
"1959-06-13",41
"1959-06-14",35
"1959-06-15",40
"1959-06-16",34
"1959-06-17",30
"1959-06-18",36
"1959-06-19",40
"1959-07-13",35
"1959-07-14",44
"1959-07-15",41
"1959-07-16",42
"1959-07-17",36
"1959-07-18",45
"1959-08-14",39
"1959-08-15",44
"1959-08-16",45
"1959-08-17",33
"1959-08-18",44
"1959-08-19",38
"1959-08-20",46
"1959-08-21",46
"1959-08-22",40
"1959-08-23",39
"1959-08-24",44
"1959-08-25",48
"1959-08-26",50
"1959-08-27",41
"1959-08-28",42
"1959-09-08",36
"1959-09-09",57
"1959-09-10",44
"1959-09-11",42
"1959-09-12",53
"1959-09-13",42
"1959-09-14",34
"1959-10-01",49
"1959-10-02",54
"1959-10-03",56
"1959-10-04",47
"1959-10-05",44
"1959-10-06",43
"1959-10-07",42
"1959-10-08",45
"1959-10-09",50
"1959-10-10",48
"1959-10-11",43
"1959-10-12",40
"1959-10-13",59
"1959-10-14",41
"1959-10-15",42
"1959-10-16",51
"1959-10-17",49
"1959-10-18",45
"1959-10-24",36
"1959-10-25",42
"1959-10-26",35
"1959-10-27",28
"1959-10-28",44
"1959-11-04",42
"1959-11-05",59
"1959-11-06",45
"1959-11-07",52
"1959-11-08",46
"1959-11-09",42
"1959-11-10",40
"1959-11-11",40
"1959-12-16",52
"1959-12-17",39
"1959-12-18",40
"1959-12-19",42
"1959-12-20",42
"1959-12-21",53
"1959-12-28",52
"1959-12-29",48
"1959-12-30",55
"1959-12-31",50